step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
69 0.069 -0.0328496 -0.0657992 0.0329497 7.61377e-06 0.0197576 0.0131845
70 0.07 -0.0328477 -0.0657979 0.0329502 7.8325e-06 0.0197574 0.013185
71 0.071 -0.0328458 -0.0657966 0.0329508 8.05417e-06 0.0197571 0.0131856
72 0.072 -0.032844 -0.0657953 0.0329513 8.27879e-06 0.0197569 0.0131861
73 0.073 -0.0328421 -0.065794 0.0329519 8.50633e-06 0.0197567 0.0131867
74 0.074 -0.0328403 -0.0657927 0.0329524 8.73679e-06 0.0197564 0.0131872
75 0.075 -0.0328384 -0.0657914 0.0329529 8.97017e-06 0.0197562 0.0131878
76 0.076 -0.0328366 -0.06579 0.0329535 9.20645e-06 0.0197559 0.0131884
77 0.077 -0.0328347 -0.0657887 0.032954 9.44562e-06 0.0197556 0.0131889
78 0.078 -0.0328329 -0.0657874 0.0329545 9.68768e-06 0.0197553 0.0131895
79 0.079 -0.032831 -0.065786 0.032955 9.93261e-06 0.019755 0.0131901
80 0.08 -0.0328291 -0.0657847 0.0329555 1.01804e-05 0.0197547 0.0131907
81 0.081 -0.0328273 -0.0657833 0.032956 1.04311e-05 0.0197544 0.0131912
82 0.082 -0.0328254 -0.065782 0.0329565 1.06846e-05 0.019754 0.0131918
83 0.083 -0.0328236 -0.0657806 0.032957 1.09409e-05 0.0197537 0.0131924
84 0.084 -0.0328217 -0.0657792 0.0329575 1.12001e-05 0.0197534 0.013193
85 0.085 -0.0328199 -0.0657779 0.032958 1.14621e-05 0.019753 0.0131935
86 0.086 -0.032818 -0.0657765 0.0329585 1.17269e-05 0.0197526 0.0131941
87 0.087 -0.0328162 -0.0657751 0.032959 1.19945e-05 0.0197522 0.0131947
88 0.088 -0.0328143 -0.0657737 0.0329594 1.22649e-05 0.0197518 0.0131953
89 0.089 -0.0328124 -0.0657723 0.0329599 1.25381e-05 0.0197514 0.0131959
90 0.09 -0.0328106 -0.0657709 0.0329603 1.2814e-05 0.019751 0.0131965
91 0.091 -0.0328087 -0.0657695 0.0329608 1.30927e-05 0.0197506 0.0131971
92 0.092 -0.0328069 -0.0657681 0.0329612 1.33742e-05 0.0197502 0.0131977
93 0.093 -0.032805 -0.0657667 0.0329617 1.36583e-05 0.0197498 0.0131983
94 0.094 -0.0328032 -0.0657653 0.0329621 1.39453e-05 0.0197493 0.0131989
95 0.095 -0.0328013 -0.0657639 0.0329626 1.42349e-05 0.0197489 0.0131995
96 0.096 -0.0327995 -0.0657624 0.032963 1.45272e-05 0.0197484 0.0132001
97 0.097 -0.0327976 -0.065761 0.0329634 1.48223e-05 0.0197479 0.0132007
98 0.098 -0.0327958 -0.0657596 0.0329638 1.512e-05 0.0197474 0.0132013
99 0.099 -0.0327939 -0.0657581 0.0329642 1.54204e-05 0.019747 0.0132019
100 0.1 -0.0327921 -0.0657567 0.0329646 1.57234e-05 0.0197465 0.0132025
101 0.101 -0.0327902 -0.0657552 0.032965 1.60291e-05 0.019746 0.0132031
102 0.102 -0.0327883 -0.0657538 0.0329654 1.63375e-05 0.0197454 0.0132037
103 0.103 -0.0327865 -0.0657523 0.0329658 1.66484e-05 0.0197449 0.0132043
104 0.104 -0.0327846 -0.0657509 0.0329662 1.6962e-05 0.0197444 0.0132049
105 0.105 -0.0327828 -0.0657494 0.0329666 1.72782e-05 0.0197439 0.0132055
106 0.106 -0.0327809 -0.0657479 0.032967 1.7597e-05 0.0197433 0.0132061
107 0.107 -0.0327791 -0.0657465 0.0329674 1.79184e-05 0.0197428 0.0132067
108 0.108 -0.0327772 -0.065745 0.0329677 1.82423e-05 0.0197422 0.0132073
109 0.109 -0.0327754 -0.0657435 0.0329681 1.85688e-05 0.0197416 0.0132079
110 0.11 -0.0327735 -0.065742 0.0329685 1.88978e-05 0.0197411 0.0132085
111 0.111 -0.0327717 -0.0657405 0.0329688 1.92294e-05 0.0197405 0.0132091
112 0.112 -0.0327698 -0.065739 0.0329692 1.95635e-05 0.0197399 0.0132097
113 0.113 -0.032768 -0.0657375 0.0329695 1.99001e-05 0.0197393 0.0132103
114 0.114 -0.0327661 -0.065736 0.0329698 2.02392e-05 0.0197387 0.0132109
115 0.115 -0.0327643 -0.0657345 0.0329702 2.05808e-05 0.0197381 0.0132115
116 0.116 -0.0327624 -0.0657329 0.0329705 2.09248e-05 0.0197375 0.0132121
117 0.117 -0.0327606 -0.0657314 0.0329708 2.12713e-05 0.0197368 0.0132127
118 0.118 -0.0327587 -0.0657299 0.0329712 2.16203e-05 0.0197362 0.0132133
119 0.119 -0.0327569 -0.0657284 0.0329715 2.19717e-05 0.0197356 0.0132139
120 0.12 -0.032755 -0.0657268 0.0329718 2.23255e-05 0.0197349 0.0132146
121 0.121 -0.0327532 -0.0657253 0.0329721 2.26817e-05 0.0197343 0.0132152
122 0.122 -0.0327513 -0.0657237 0.0329724 2.30403e-05 0.0197336 0.0132158
123 0.123 -0.0327495 -0.0657222 0.0329727 2.34013e-05 0.0197329 0.0132164
124 0.124 -0.0327476 -0.0657206 0.032973 2.37647e-05 0.0197322 0.013217
125 0.125 -0.0327458 -0.0657191 0.0329733 2.41304e-05 0.0197316 0.0132176
126 0.126 -0.0327439 -0.0657175 0.0329735 2.44984e-05 0.0197309 0.0132182
127 0.127 -0.0327421 -0.0657159 0.0329738 2.48688e-05 0.0197302 0.0132188
128 0.128 -0.0327402 -0.0657143 0.0329741 2.52415e-05 0.0197295 0.0132194
