Label_1,Label_2,Distance
0,0,0
0,4,0.433013
0,125,0.433013
0,414,0.433013
0,487,0.433013
1,1,0
1,4,0.433013
1,5,0.433013
1,390,0.433013
1,391,0.433013
2,2,0
2,4,0.433013
2,6,0.433013
2,101,0.433013
2,103,0.433013
3,3,0
3,4,0.433013
3,7,0.433013
3,29,0.433013
3,30,0.433013
4,0,0.433013
4,1,0.433013
4,2,0.433013
4,3,0.433013
4,4,0
5,1,0.433013
5,5,0
5,11,0.433013
5,34,0.433013
5,40,0.433013
6,2,0.433013
6,6,0
6,11,0.433013
6,129,0.433013
6,136,0.433013
7,3,0.433013
7,7,0
7,34,0.433013
7,129,0.433013
7,160,0.433013
8,8,0
8,12,0.433013
8,101,0.433013
8,390,0.433013
8,495,0.433013
9,9,0
9,12,0.433013
9,13,0.433013
9,398,0.433013
9,399,0.433013
10,10,0
10,12,0.433013
10,14,0.433013
10,109,0.433013
10,111,0.433013
11,5,0.433013
11,6,0.433013
11,11,0
11,12,0.433013
11,15,0.433013
12,8,0.433013
12,9,0.433013
12,10,0.433013
12,11,0.433013
12,12,0
13,9,0.433013
13,13,0
13,19,0.433013
13,42,0.433013
13,48,0.433013
14,10,0.433013
14,14,0
14,19,0.433013
14,137,0.433013
14,144,0.433013
15,11,0.433013
15,15,0
15,42,0.433013
15,137,0.433013
15,168,0.433013
16,16,0
16,20,0.433013
16,109,0.433013
16,398,0.433013
16,503,0.433013
17,17,0
17,20,0.433013
17,21,0.433013
17,406,0.433013
17,407,0.433013
18,18,0
18,20,0.433013
18,22,0.433013
18,117,0.433013
18,119,0.433013
19,13,0.433013
19,14,0.433013
19,19,0
19,20,0.433013
19,23,0.433013
20,16,0.433013
20,17,0.433013
20,18,0.433013
20,19,0.433013
20,20,0
21,17,0.433013
21,21,0
21,27,0.433013
21,50,0.433013
21,56,0.433013
22,18,0.433013
22,22,0
22,27,0.433013
22,145,0.433013
22,152,0.433013
23,19,0.433013
23,23,0
23,50,0.433013
23,145,0.433013
23,176,0.433013
24,24,0
24,28,0.433013
24,117,0.433013
24,406,0.433013
24,511,0.433013
25,25,0
25,28,0.433013
25,29,0.433013
25,414,0.433013
25,415,0.433013
26,26,0
26,28,0.433013
26,30,0.433013
26,125,0.433013
26,127,0.433013
27,21,0.433013
27,22,0.433013
27,27,0
27,28,0.433013
27,31,0.433013
28,24,0.433013
28,25,0.433013
28,26,0.433013
28,27,0.433013
28,28,0
29,3,0.433013
29,25,0.433013
29,29,0
29,32,0.433013
29,58,0.433013
30,3,0.433013
30,26,0.433013
30,30,0
30,128,0.433013
30,153,0.433013
31,27,0.433013
31,31,0
31,58,0.433013
31,153,0.433013
31,184,0.433013
32,29,0.433013
32,32,0
32,36,0.433013
32,391,0.433013
32,446,0.433013
33,33,0
33,36,0.433013
33,37,0.433013
33,422,0.433013
33,423,0.433013
34,5,0.433013
34,7,0.433013
34,34,0
34,36,0.433013
34,38,0.433013
35,35,0
35,36,0.433013
35,39,0.433013
35,61,0.433013
35,62,0.433013
36,32,0.433013
36,33,0.433013
36,34,0.433013
36,35,0.433013
36,36,0
37,33,0.433013
37,37,0
37,43,0.433013
37,66,0.433013
37,72,0.433013
38,34,0.433013
38,38,0
38,43,0.433013
38,161,0.433013
38,168,0.433013
39,35,0.433013
39,39,0
39,66,0.433013
39,161,0.433013
39,192,0.433013
40,5,0.433013
40,40,0
40,44,0.433013
40,399,0.433013
40,422,0.433013
41,41,0
41,44,0.433013
41,45,0.433013
41,430,0.433013
41,431,0.433013
42,13,0.433013
42,15,0.433013
42,42,0
42,44,0.433013
42,46,0.433013
43,37,0.433013
43,38,0.433013
43,43,0
43,44,0.433013
43,47,0.433013
44,40,0.433013
44,41,0.433013
44,42,0.433013
44,43,0.433013
44,44,0
45,41,0.433013
45,45,0
45,51,0.433013
45,74,0.433013
45,80,0.433013
46,42,0.433013
46,46,0
46,51,0.433013
46,169,0.433013
46,176,0.433013
47,43,0.433013
47,47,0
47,74,0.433013
47,169,0.433013
47,200,0.433013
48,13,0.433013
48,48,0
48,52,0.433013
48,407,0.433013
48,430,0.433013
49,49,0
